Timestamp,Roll,Pitch,Yaw,Altitude,Temp,Pressure
2026-04-19T22:56:20.101607,0.5708173347018113,-1.8725657742792103,1.2641839559631243,620.03,34.15,940.96
2026-04-19T22:56:20.213957,0.511816463397227,-3.049618494044218,1.3621705811449754,620.19,34.14,940.94
2026-04-19T22:56:20.318578,0.34941073461398664,-1.776666498119254,1.3985133480959262,620.05,34.15,940.96
2026-04-19T22:56:20.429067,0.26549747834408355,-3.4605466401316676,1.2019417570797637,619.92,34.14,940.97
2026-04-19T22:56:20.533813,0.3298521117960572,-2.530494758908811,1.3086646013688814,620.05,34.15,940.96
2026-04-19T22:56:20.642929,0.35687959584870166,-3.8183526185072214,1.4729217573489775,620.15,34.14,940.95
2026-04-19T22:56:20.755049,0.3227473100678363,-2.556157464421557,1.399935102150238,620.22,34.14,940.94
2026-04-19T22:56:20.869256,0.6246812550722743,-3.3671187097585094,1.420920029791219,620.27,34.14,940.93
2026-04-19T22:56:20.983231,1.0128212606077711,-1.6916714361192073,1.7009061250632096,620.03,34.14,940.95
2026-04-19T22:56:21.076332,0.20750495356924947,-2.390466638245711,1.7223338550777862,620.38,34.15,940.92
2026-04-19T22:56:21.197984,0.4965906594555659,-3.1386388700762344,1.3455384710992229,620.21,34.15,940.94
2026-04-19T22:56:21.311084,0.6056337509636814,-0.13046691546206457,1.0583704243130145,620.12,34.14,940.95
2026-04-19T22:56:21.417706,0.265214373756438,-0.46371033191433714,0.5237438584524519,620.1,34.14,940.95
2026-04-19T22:56:21.530705,0.4828233551746127,0.9629386789997217,-1.1669444762853716,620.18,34.15,940.94
2026-04-19T22:56:21.638772,0.32947748953810396,0.531324037726005,-1.8121848020358267,620.03,34.15,940.96
2026-04-19T22:56:21.741506,0.4329750836231484,-1.8746954597584415,-1.8138445689495009,620.31,34.14,940.93
2026-04-19T22:56:21.856116,0.028904949440153316,1.2158584298371151,-1.3046441812447915,620.1,34.15,940.95
2026-04-19T22:56:21.972675,0.24284710815837346,-3.758729105273096,-1.5351898198106766,620.27,34.15,940.93
2026-04-19T22:56:22.087131,0.4351436930098278,-0.2649527894879297,-0.38864173756297593,620.16,34.14,940.95
2026-04-19T22:56:22.180234,0.27173253800250485,-2.8210654781725437,-0.7992074802746734,620.13,34.14,940.95
2026-04-19T22:56:22.300398,0.6953382556153973,-2.988656061837312,-0.7621511081237247,620.1,34.14,940.95
2026-04-19T22:56:22.409188,0.4606986415187354,-2.1507723428005865,-0.48191366012302844,620.01,34.14,940.96
2026-04-19T22:56:22.519948,0.4866912962534431,-4.540997827805254,-0.49003739332391166,620.05,34.14,940.96
2026-04-19T22:56:22.628823,0.26749237202367726,-3.7553257953538695,0.17265052300138525,620.33,34.15,940.93
2026-04-19T22:56:22.738614,0.6330873481555928,-6.015846575832563,-0.06054298989358836,620.16,34.14,940.95
2026-04-19T22:56:22.846796,0.8048737191717699,-4.542912802280491,0.20312391069404145,620.12,34.15,940.95
2026-04-19T22:56:22.958513,0.40927782351939546,-6.564049432678948,-0.1102998561545992,620.22,34.14,940.94
2026-04-19T22:56:23.068024,0.3797232025064209,-5.3624263021684,-0.0091813417013083,620.15,34.15,940.95
2026-04-19T22:56:23.177535,-0.007754415935448872,-4.272027332582434,0.16881955830474205,619.96,34.15,940.97
2026-04-19T22:56:23.279567,0.23425935851564023,-5.808947196608663,-0.06857549757924968,620.07,34.15,940.96
2026-04-19T22:56:23.400204,0.008193845851946602,-4.087507918721935,0.07024825575428972,620.12,34.15,940.95
2026-04-19T22:56:23.507212,0.29792636870800926,-5.412215534655571,0.010558640411437283,620.16,34.15,940.95
2026-04-19T22:56:23.617246,-0.002147641384474791,-4.042085373895658,0.10160280961516173,620.12,34.15,940.95
2026-04-19T22:56:23.725791,0.07930474981360108,-5.318641940394004,0.021561284603644627,619.92,34.15,940.97
2026-04-19T22:56:23.836146,0.7631222537872944,-4.053601389815953,0.013645599154854554,620.23,34.15,940.94
2026-04-19T22:56:23.944168,0.12453482314615721,-4.808280308059297,0.007668252336213212,620.18,34.15,940.94
2026-04-19T22:56:24.048662,0.2057181847254948,-5.997941468093751,0.06097227025485769,620.22,34.15,940.94
2026-04-19T22:56:24.162458,0.08812377786288511,-4.841716754780512,0.40133257950857015,620.18,34.15,940.94
2026-04-19T22:56:24.276821,0.06742850502778563,-6.200653743843447,0.3338012344312477,620.36,34.14,940.92
2026-04-19T22:56:24.385272,0.12954606025965082,-4.739031930280895,0.3046841542550529,620.03,34.15,940.96
2026-04-19T22:56:24.495869,-0.18651762076560827,-5.987504429205332,0.35594697258267066,620.16,34.14,940.95
